선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,시즌,IP_float,FIP,xFIP,ERA+,K/9,BB/9,K/BB,pWAR
한현희,롯데,6.23,3,0,0,0,1,,8 2/3,13,2,2,1,8,6,6,1.731,0,0,0,0,41,161,0.342,2,0,0,0,0,1,0,2025,8.666666666666666,5.29,5.29,64.8,8.31,2.08,4.0,-0.03
김태혁,롯데,6.38,45,0,1,2,3,0.0,36 2/3,48,4,18,3,27,26,26,1.8,0,0,0,0,180,644,0.314,10,0,2,4,2,1,0,2025,36.666666666666664,4.76,4.76,63.3,6.63,4.42,1.5,0.09
구승민,롯데,7.0,11,0,1,0,1,0.0,9,9,1,7,1,10,10,7,1.778,0,0,0,0,45,187,0.243,1,1,0,0,0,0,0,2025,9.0,4.99,4.99,57.7,10.0,7.0,1.43,0.0
윤성빈,롯데,7.67,31,1,2,0,0,0.333,27,26,3,20,4,44,23,23,1.704,0,0,0,0,130,524,0.245,7,0,0,0,1,6,0,2025,27.0,3.95,3.95,52.7,14.67,6.67,2.2,0.3
박준우,롯데,8.03,11,1,2,0,1,0.333,12 1/3,21,0,6,1,11,11,11,2.189,0,0,0,1,64,238,0.368,3,1,0,0,0,0,0,2025,12.333333333333334,3.02,3.02,50.3,8.03,4.38,1.83,0.26
벨라스케즈,롯데,8.23,11,1,4,0,0,0.2,35,47,7,18,3,28,32,32,1.857,0,0,1,0,168,651,0.324,10,1,2,0,0,1,2,2025,35.0,5.9,5.9,49.1,7.2,4.63,1.56,-0.34
박진형,롯데,8.44,7,0,0,0,0,,5 1/3,9,1,3,0,5,7,5,2.25,0,0,0,0,29,104,0.346,3,0,0,0,0,0,0,2025,5.333333333333333,5.35,5.35,47.8,8.44,5.06,1.67,-0.02
이영재,롯데,9.0,3,0,0,0,0,,2,5,1,0,1,2,2,2,,0,0,0,0,11,43,0.5,1,0,0,0,0,0,0,2025,2.0,,,,,,,
김진욱,롯데,10.0,14,1,3,0,0,0.25,27,42,10,16,2,24,32,30,2.148,0,0,1,2,136,544,0.365,6,0,2,1,0,0,0,2025,27.0,8.14,8.14,40.4,8.0,5.33,1.5,-0.91
박시영,롯데,11.05,11,1,0,0,0,1.0,7 1/3,9,0,9,2,10,9,9,2.455,0,0,0,0,42,169,0.29,4,0,0,0,0,0,0,2025,7.333333333333333,4.87,4.87,36.5,12.27,11.05,1.11,0.01
박세현,롯데,14.73,3,0,0,0,0,,3 2/3,8,1,1,1,4,6,6,,0,0,0,0,21,65,0.421,5,0,0,0,0,0,0,2025,3.6666666666666665,,,,,,,
양현,삼성,0.0,4,0,0,0,0,,3 1/3,2,0,3,0,1,0,0,,0,0,0,1,15,65,0.167,0,0,0,0,0,0,0,2025,3.3333333333333335,,,,,,,
이상민,삼성,0.0,1,0,0,0,0,,1,2,0,0,0,1,0,0,,0,0,0,0,5,12,0.4,0,0,0,0,0,0,0,2025,1.0,,,,,,,
이재익,삼성,1.23,7,1,0,0,0,1.0,7 1/3,8,0,2,0,6,1,1,1.364,0,0,0,0,31,113,0.276,0,1,0,0,0,1,0,2025,7.333333333333333,2.28,2.28,352.0,7.36,2.45,3.0,0.23
백정현,삼성,1.95,29,2,0,1,3,1.0,32 1/3,19,1,7,2,31,7,7,0.804,0,0,0,2,128,505,0.165,6,0,2,2,0,0,0,2025,32.333333333333336,2.42,2.42,222.0,8.63,1.95,4.43,0.96
후라도,삼성,2.6,30,15,8,0,0,0.652,197 1/3,177,17,36,4,142,65,57,1.079,3,2,23,0,786,2921,0.239,17,3,5,1,0,3,0,2025,197.33333333333334,3.39,3.39,166.5,6.48,1.64,3.94,3.64
가라비토,삼성,2.64,15,4,4,0,0,0.5,78 1/3,56,6,37,6,84,31,23,1.187,0,0,4,0,327,1356,0.2,5,0,4,0,1,2,0,2025,78.33333333333333,3.6,3.6,164.0,9.65,4.25,2.27,1.26
이재희,삼성,3.0,11,0,2,0,4,0.0,9,7,0,5,0,9,3,3,1.333,0,0,0,0,39,157,0.206,1,1,0,0,0,0,0,2025,9.0,2.77,2.77,144.3,9.0,5.0,1.8,0.23
